query_label,positive_label,negatives_label
Baby Health,Baby Safety,"['Key Caps', 'Bicycle Hubs', 'Therapeutic Swings', 'Frosting & Icing', 'Circuit Decoders & Encoders', 'Mobile Phone Camera Accessories', 'Captains Armbands', 'Woodwinds', 'Capos']"
Baby Toys & Activity Equipment,Baby Safety,"['Child Swimming Aids', 'Outdoor Power Equipment Base Units', 'Portfolios & Padfolios', 'Hair Accessories', 'Orchestral String Instrument Bow Cases', 'Travel Pouches', 'Horse Feed', 'Hooks, Buckles & Fasteners', 'Motor Vehicle Cassette Players']"
Baby Toys & Activity Equipment,Baby Transport,"['Denture Cleaners', 'Incense Holders', 'Breast Enhancing Inserts', 'Mustard', 'Headsets', 'Direct Boxes', 'Medical Carts', 'Personnel Lifts', 'Clarinet Mouthpieces']"
Baby Transport,Baby Transport Accessories,"['Reciprocating Saws', 'Tennis Balls', 'Mailbox Covers', 'Audio & Video Splitters & Switches', 'Hospital Gowns', 'Check Presenters', 'Carbon Brushes', 'Vehicle Soft Tops', 'Garlic']"
Diapering,Baby Transport Accessories,"['Medical Instruments', 'Carpentry Jointers', 'Vehicle Wraps', 'Science & Exploration Sets', 'Bicycle Child Seats', 'Mirrors', 'Baking Peels', 'Modulators', 'Meat Alternatives']"
Nursing & Feeding,Diapering,"['Oil Lamp Fuel', 'Acne Treatments & Kits', 'Cake Pans & Molds', 'Flying Toy Accessories', 'Recorder Parts', 'Cocktail Shakers & Tools', 'Deburrers', 'Skis', 'Fishing Rod Bags & Cases']"
Nursing & Feeding,Potty Training,"['Satellite LNBs', 'Quince', 'Skin Care', 'Model & Toys Manuals', 'Dartboards', 'Wine Racks', 'Luggage Accessories', 'Skate Rails', 'Drinkware Holders']"
Potty Training,Swaddling & Receiving Blankets,"['Shovels & Spades', 'Bridges & Routers', 'In-Line Water Filters', 'Wok Accessories', 'Light Meters', 'Tool Handle Wedges', 'Urinals', 'Depilatories', 'Musical Cowbells']"
Camera & Optic Accessories,Cameras,"['Ear Syringes', 'DVD & Blu-ray Players', 'Waste Container Lids', 'Fishing Reel Bags & Cases', 'Theodolites', 'Chains', 'Cardstock', 'Hourglasses', 'Hanging Chairs']"
Photography,Camera & Optic Accessories,"['Shoe Trees & Shapers', 'Fireplaces', 'Decorative Tape', 'Games', 'Canned Meats', 'Motor Vehicle Carrying Rack Accessories', 'Pet Muzzles', 'Spurs', 'Water Parks & Slides']"
Cameras,Optics,"['DVD Recorders', 'Pet Agility Equipment', 'Sweet Potatoes', 'Solder & Flux', 'Spice Grinder Accessories', 'Pruning Saws', 'Baby Cereal', 'Water & Flood Detectors', 'Sustain Pedals']"
Photography,Optics,"['Goblet Drums', 'Spas', 'Cigarette Holders', 'Cookie Cutters', 'Wok Accessories', 'Ropes & Hardware Cable', 'Handkerchiefs', 'Vibration Meters', 'Hockey Pants']"
Audio,Arcade Equipment,"['Blushes & Bronzers', 'Watch Accessories', 'Pastry Cloths', 'Cat Litter Box Mats', 'Kitchen Linens Sets', 'Wire Partitions, Enclosures & Doors', 'Pies & Tarts', 'Cheese Alternatives', 'Herbicides']"
Video Game Consoles,Arcade Equipment,"['Cricket Bats', 'Volleyball Protective Gear', 'Textile Art Gauges & Rulers', 'Dryers', 'Steam Presses', 'Luggage Straps', 'Fuel', 'Homebrewing & Winemaking Supplies', 'Saxophone Accessories']"
Circuit Boards & Components,Audio,"['Carabiners', 'Bulletin Board Accessories', 'Sippy Cups', 'Rugby Posts', 'Bowling Gloves', 'Threading Machines', 'Body Weight Scale Accessories', 'Transfer Boards & Sheets', 'Musical Blocks']"
Circuit Boards & Components,Communications,"['Pet Biometric Monitors', 'Trade Show Displays', 'Camera & Optic Replacement Cables', 'Refrigerators', 'Steamer Baskets', 'Pool Sweeps & Vacuums', 'Bok Choy', 'Melons', 'Construction Set Toys']"
Components,Communications,"['Hang Gliders', 'Pickleball Paddles', 'Flood & Spot Lights', 'Camera Sun Hoods & Viewfinder Attachments', 'Medical Furniture', 'Orchestral String Instrument Bow Cases', 'Party Games', 'Art & Craft Kits', 'Charcoal Briquettes']"
Computers,Components,"['Outdoor Grill Replacement Parts', 'Letter Openers', 'Respiratory Care', 'Coffee Decanter Warmers', 'Mailbox Flags', 'Tennis Racquet Accessories', 'Flip Coins & Discs', 'Automotive Storage Covers', 'Bakeware Sets']"
Computers,Electronics Accessories,"['Rain Chains', 'Bean Paste', 'Fence & Gate Accessories', 'Ink Pads', 'Adult Hygienic Wipes', 'Staples', 'Felting Molds', 'Cricket Bat Grips', 'Bicycle Cleat Covers']"
Electronics Accessories,GPS Accessories,"['Bird Toys', 'Pet Biometric Monitors', 'Hair Dryers', 'Mechanical Pencils', 'Toilets & Bidets', 'Basketball Hoop Padding', 'Hair Clippers & Trimmers', 'Bicycle Cleat Covers', 'Guitar Stands']"
GPS Accessories,GPS Navigation Systems,"['Motor Vehicle Fuel Systems', 'Pet Leashes', 'Skateboarding', 'Examination Chairs & Tables', 'Watercraft Polishes', 'Retouching Equipment & Supplies', 'Interlocking Blocks', 'Arrow Nocks', 'Baskets']"
GPS Tracking Devices,GPS Navigation Systems,"['Surveillance Camera Lenses', 'Golf Club Shafts', 'Linesman Flags', 'Desktop Wallpaper', 'Vitamins & Supplements', 'Hammer Accessories', 'Shaving & Grooming', 'Sleeping Bag Liners', 'Camera Film']"
GPS Tracking Devices,Marine Electronics,"['Horse Grooming', 'Egg Cookers', ""Chef's Pants"", 'Office Chair Accessories', 'Vehicle Parts & Accessories', 'Baby Walkers & Entertainers', 'Baby Protective Wear', 'Kneeboards', 'Book Accessories']"
Marine Electronics,Networking,"['Bottling Bottles', 'Tool Storage & Organization', 'Chimney Cleaners', 'Luggage Racks & Stands', 'Medical Tests', 'Motorcycle Protective Clothing', 'Socks', 'Pet Eye Drops & Lubricants', 'Sleeping Bag Liners']"
"Print, Copy, Scan & Fax",Networking,"['Shuttlecocks', 'Flood & Spot Lights', 'Decorative Tape', 'Guacamole', 'Orchestral String Instrument Stands', 'Darts', 'Cake Stands', 'Surfing Gloves', 'Cocktail Decorations']"
Radar Detectors,"Print, Copy, Scan & Fax","['Craft & Office Glue', 'Lingerie Accessories', 'Talking Drums', 'Vinegar Drinks', 'Amaranth', 'Car Wash Brushes', 'Baby & Toddler Clothing Accessories', 'Flood, Fire & Gas Safety', 'Air Conditioners']"
Speed Radars,Radar Detectors,"['Punch Bowl Stands', 'Relay Batons', 'Desk & Pedestal Fans', 'Hand-Sewing Needles', 'Billiard Table Brushes', 'Phone & Data Jacks', 'Dish Detergent & Soap', 'White Noise Machines', 'Beach Towels']"
Toll Collection Devices,Speed Radars,"['Non-prescription Dog Food', 'Pasta Molds & Stamps', 'Heating Radiator Reflectors', 'Motor Vehicle Power & Electrical Systems', 'Clay', 'Utility Wire', 'Clarinet Care Kits', 'Baskets', 'Vehicle Fuel System Cleaners']"
Video,Toll Collection Devices,"['Weed Trimmer Blades & Spools', 'Dress Forms', 'Watercress', 'Fishing Tackle', 'Wall Socket Controls & Sensors', 'Bicycle Shifters', 'Coin & Bill Counters', 'Vehicle Hardtops', 'Aprons']"
Video Game Console Accessories,Video,"['Medical Instruments', 'Diapering', 'Vehicle Air Fresheners', 'American Football Fan Accessories', 'Flying Discs', 'Shoe Accessories', 'Food Smokers', 'Nursing Pads & Shields', 'Parachutes']"
Video Game Consoles,Video Game Console Accessories,"['Field Hockey & Lacrosse Protective Gear', 'Lotion & Moisturizer', 'Bird Supplies', 'Plumbing Hoses & Supply Lines', 'Musical Toys', 'Toothpaste', 'Bottle Stoppers & Savers', 'Cosmetics', 'Sports Toy Accessories']"
Food Items,Beverages,"['Crib Bumpers & Liners', 'Pest Control', 'Two-Way Radios', 'Musical Scrapers & Ratchets', 'Eye Shadow', 'Gas Hoses', 'Address Signs', 'Dollies & Hand Trucks', 'Kimonos']"
Beverages,Tobacco Products,"['Compression Sacks', 'Rain Chains', 'Bed Canopies', 'Fountains & Waterfalls', 'Baby & Toddler Furniture Sets', 'Freezer Accessories', 'Crayons', 'Cricket Protective Gear', 'Aquarium Air Stones & Diffusers']"
Tobacco Products,Food Items,"['Room Divider Accessories', 'Reciprocating Saws', 'Robotic Toys', 'Breath Spray', 'Lawn & Garden', 'Highlighter Refills', 'Chemical Hand Warmers', 'Saunas', 'Optics']"
Baby & Toddler Furniture,Beds & Accessories,"['Mobile Phone Pre-Paid Cards', 'Oranges', 'Motor Vehicle Frame & Body Parts', 'VCRs', 'Asparagus', 'Flying Toys', 'Musical Keyboard Accessories', 'Electrical Switches', 'Sleeping Bags']"
Tables,Baby & Toddler Furniture,"['Gymnastics Protective Gear', 'Vehicle Paint', 'Waste Container Enclosures', 'Costumes', 'Wok Accessories', 'Deck & Fence Cleaners', 'Surfing Tail Pads', 'Saw Stands', 'Vehicle Storage Covers']"
Beds & Accessories,Benches,"['Basketball Rims', 'Resistors', 'Vehicle Motor Oil', 'Piggy Banks & Money Jars', 'Threading Machines', 'Hearing Aids', 'Knife Guides', 'Sheet Protectors', 'Pasta Molds & Stamps']"
Benches,Cabinets & Storage,"['Fondue Set Accessories', 'Router Tables', 'Dry Beans', 'Thread, Yarn & Bobbin Winders', 'Pool Toys', 'Seasonal Village Sets & Accessories', 'Bicycle Cleat Bolts', 'Foot Files', 'Skin Care Masks & Peels']"
Cabinets & Storage,Carts & Islands,"['Child Swimming Aids', 'Home Alarm Systems', 'Airsoft Gun Parts & Accessories', 'Pretend Jewelry', 'False Eyelash Remover', 'Wood Stove Fans & Blowers', 'Diving & Snorkeling Equipment Sets', 'Windsurfing', 'Binoculars']"
Chair Accessories,Carts & Islands,"['Child Swimming Aids', 'Riding Toys', 'Massage Stone Warmers', 'Luggage Straps', 'Rounders Gloves', 'Medical Equipment', 'Starter Cultures', 'Building Consumables', 'Solvents, Strippers & Thinners']"
Chair Accessories,Chairs,"['Track Lighting Accessories', 'Sauna Kits', 'Household Cleaning Supplies', 'Bow & Crossbow Accessories', 'Squeegees', 'MIDI Controllers', 'Landscape Fabric Staples & Pins', 'Hair Removal', 'Golf Club Grips']"
Entertainment Centers & TV Stands,Chairs,"['Ear Wax Removal Kits', 'FM Transmitters', 'Fruit Flavored Drinks', 'Wristbands', 'Game Remotes', 'Disco Balls', 'Pretend Jewelry', 'Felting Molds', 'Climbing Ascenders & Descenders']"
Entertainment Centers & TV Stands,Furniture Sets,"['Game Remotes', 'Fish Supplies', 'Figure Skating & Hockey', 'Paint Tool Accessories', 'Cheese', 'HVAC Controls', 'Glass & Surface Cleaners', 'Musical Pipes', 'Canopy Poles']"
Futon Frames,Furniture Sets,"['Bathtub & Shower Jets', 'Printer, Copier, & Fax Machine Circuit Boards', 'Call Bells', 'Shoe Treatments & Dyes', 'Heat Detectors', 'Nail Clippers', 'Barley', 'Inline & Roller Skating Protective Gear', 'Toothpicks']"
Futon Frames,Futon Pads,"['Light Bulb Changers', 'Refrigerator Accessories', 'Cover Paper', 'Lipstick', 'Hair Straighteners', 'Crossovers', 'Motor Vehicle Cassette Adapters', 'Sports & Energy Drinks', 'Guitar Stands']"
Futons,Futon Pads,"['Vegetable Mixes', 'Shipping Containers', 'Seeds & Seed Tape', 'Juicers', 'Mobile Phone Cases', 'Vehicle Safety Equipment', 'Decorative Pom-Poms', 'Gun Rails', 'Swing Sets & Playsets']"
Futons,Office Furniture,"['Spectrometers', 'Yogurt Maker Accessories', 'Scale Models', 'American Football Fan Accessories', 'Lacrosse Stick Parts', 'Pagers', 'ATV & UTV Bar Pads', 'Clarinet Accessories', 'Hot Chocolate']"
Office Furniture,Office Furniture Accessories,"['Humidor Accessories', 'Flatware', 'Dartboards', 'Coffee', 'Hedge Trimmers', 'Scale Model Accessories', 'Palette Knives', 'Home & Garden', 'Egg Replacers']"
Office Furniture Accessories,Ottomans,"['Crafting Adhesives & Magnets', 'Stair Climbers & Steppers', 'Spectrometer Accessories', 'Range Hoods', 'Printer Duplexers', 'Computer Backplates & I/O Shields', 'Audiobooks', 'Office Shredders', 'Body Jewelry']"
Outdoor Furniture,Ottomans,"['Rolling Pin Rings', 'Flute Parts', 'Trophies & Awards', 'Gardening Tool Accessories', 'Air Purifier Accessories', 'Pool Cleaner Hoses', 'Microscope Replacement Bulbs', 'Cabinet Light Fixtures', 'Gift Giving']"
Outdoor Furniture,Outdoor Furniture Accessories,"['Serving Pitchers & Carafes', 'Pet Sunscreen', 'Dog Kennel & Run Accessories', 'Dishwashers', 'Canoe Accessories', 'Jewelry & Beading Cord', 'Video Conferencing', 'Table Linens', 'Orchestral String Instrument Stands']"
Outdoor Furniture Accessories,Room Divider Accessories,"['Tableware', 'Fuel Cells', 'Computer Power Supplies', 'Respiratory Care', 'Waste Container Lids', 'Guitars', 'Aquatic Plants', 'Reins', 'Electronic Filters']"
Room Dividers,Room Divider Accessories,"['Toy Weapon & Gadget Accessories', 'Whole Eggs', 'Bicycle Bells & Horns', 'Snowboards', 'Spring Water', 'Buttermilk', 'Stains', 'Lens Bags', 'Motorcycle Helmet Parts & Accessories']"
Room Dividers,Shelving,"['Cactus Pears', 'Bicycle Bags & Panniers', 'Ramekins & Souffle Dishes', 'Gymnastics', 'Telephone Accessories', 'Seitan', 'Bowling Pins', 'Reading Toys', 'Cut-Off Saws']"
Shelving Accessories,Shelving,"['Corkscrews', 'Hair Styling Tool Accessories', 'Printer Drums & Drum Kits', 'Skateboarding', 'Vehicle Door Locks & Parts', 'Brass Fasteners', 'Roaster Ovens & Rotisseries', 'Outdoor Umbrella Bases', 'Sunscreen']"
Shelving Accessories,Sofa Accessories,"['Shooting Rests', 'Pipe & Bar Benders', 'Cover Paper', 'Oral Care', 'Straight Pins', 'Undershirts', 'Jewelry & Beading Wire', 'Tennis Nets', 'Facial Cleansers']"
Sofas,Sofa Accessories,"['Lawn Aerators & Dethatchers', 'Basting Brushes', 'Salon Chairs', 'Inflatable Party Decorations', 'Tools', 'Stitch Markers & Counters', 'Vaporizers', 'Diaper Wet Bags', 'Board Games']"
Table Accessories,Sofas,"['Gutter Accessories', 'Fish Sauce', 'Field Hockey Sticks', 'Key Card Entry Systems', 'Tow-Behind Mowers', 'Lens & Filter Adapter Rings', 'Finance & Insurance', 'Cardio Machine Accessories', 'Pot & Planter Liners']"
Tables,Table Accessories,"['Stationery', 'Fireplace Reflectors', 'Hard Drive Enclosures & Mounts', 'Jukeboxes', 'Vehicle Door Lock Actuators', 'Broom Heads', 'Beading Patterns', 'Print, Copy, Scan & Fax', 'Watercraft Steering Parts']"
Building Consumables,Building Materials,"['Hunting', 'Tapenade', 'Craft Fasteners & Closures', 'Baby & Toddler Furniture', 'Cooking Starch', 'Bicycle Handlebar Extensions', 'Hedge Trimmers', 'Ice Crusher & Shaver Accessories', 'Invitations']"
Building Consumables,Tools,"['Food Peelers & Corers', 'Fabric Shavers', 'Skateboarding', 'Media Viewing Software', 'Horse Blankets & Sheets', 'Roulette Wheels & Sets', 'Sorting & Stacking Toys', 'Popcorn & French Fry Scoops', 'Saris & Lehengas']"
Building Materials,Fencing & Barriers,"['Bitters', 'Composters', 'Toothbrush Replacement Heads', 'Emergency Preparedness', 'Remote Control Boats & Watercraft', 'Motor Vehicle Electronics', 'Swimwear', 'Batteries', 'One-Pieces']"
Fuel,Fencing & Barriers,"['FM Transmitters', 'Bicycle Cassettes & Freewheels', 'Hot Drink Makers', 'Camera & Optic Accessories', 'Ammunition Reloading Presses', 'Safety Knee Pads', 'Cheerleading', 'Motor Vehicle Trailers', 'Hockey Gloves']"
Fuel,Fuel Containers & Tanks,"['Camera Grips', 'Weight Lifting Belts', 'Plaster Gauze', 'Refrigerators', 'Medical Alarm Systems', 'Livestock Feeders & Waterers', 'Trees', 'Spurs', 'Needlecraft Patterns']"
Hardware Accessories,Fuel Containers & Tanks,"['Waste Container Wheels', 'Laser Pointers', 'Ranges', 'Hockey Shoulder Pads & Chest Protectors', 'Touch Table Computers', 'Musical Keyboard Accessories', 'Automation Control Components', 'Horseradish Sauce', 'Erotic Food & Edibles']"
Hardware Accessories,Hardware Pumps,"['Operating Systems', 'Throwing Stars', 'Fabric Repair Kits', 'Concession Food Containers', 'Cheerleading Pom Poms', 'Vehicle Diagnostic Scanners', 'GPS Accessories', 'Vehicle Headrest Hangers & Hooks', 'Ice Scoops']"
"Heating, Ventilation & Air Conditioning",Hardware Pumps,"['Bird Treats', 'Folder Tabs', 'Bottling Bottles', 'American Football Kicking Tees & Holders', 'Take-Out Containers', 'Colanders & Strainers', 'Shelf-stable Cocktail Mixes', 'Beakers', 'Bath & Body']"
Locks & Keys,"Heating, Ventilation & Air Conditioning","['Gardening Totes', 'Floating & Submersible Lights', 'Fireplace Reflectors', 'Soda Makers', 'Household Cleaning Products', 'Water Cooler Accessories', 'Motor Vehicle Loading Ramps', 'Eyewear Lens Cleaning Solutions', 'Ironing Board Replacement Parts']"
Locks & Keys,Plumbing,"['Oven Bags', 'Floor & Steam Cleaner Accessories', 'Wok Brushes', 'Hockey Suspenders & Belts', 'Educational Flash Cards', 'Rugby Training Aids', 'Table & Bar Stools', 'Video Editing Software', 'Field Hockey & Lacrosse']"
Power & Electrical Supplies,Plumbing,"['Canoes', 'Musical Instrument Amplifier Stands', 'Paella Pans', 'Hockey Pants', 'Medical Identification Tags & Jewelry', 'Steamer Baskets', 'Ice Bins', 'Plant Stands', 'Mortars & Pestles']"
Power & Electrical Supplies,Small Engines,"['Skateboards', 'Video Game Arcade Cabinets', 'Business Card Books', 'Household Cleaning Supplies', 'Fishing Lines & Leaders', 'Weight Lifting Machine & Exercise Bench Accessories', 'American Football Helmet Accessories', 'Aquarium & Pond Tubing', 'Kimonos']"
Small Engines,Storage Tanks,"['Seal Stamps', 'Leaf Blower Tubes', 'Fireplaces', 'Gun Cleaning Cloths & Swabs', 'Post Cards', 'Suspension Trainers', 'Bath & Body Gift Sets', 'Hair Pins', 'Cricket']"
Storage Tanks,Tool Accessories,"['Vehicle Motor Oil', 'Windshield Repair Kits', 'Ground & Leaf Blower Attachments', 'AV Carts', 'Chair & Sofa Supports', 'Flat Mineral Water', 'Rakes', 'Wetsuit Hoods, Gloves & Boots', 'Camera Remote Controls']"
Tools,Tool Accessories,"['Waste Container Enclosures', 'Watercraft Alternators', 'Kite Accessories', 'Outdoor Sectional Sofa Units', 'Special Effects Controllers', 'Fresh Cut Flowers', 'Tobacco Products', 'Tables', 'Nail Care']"
Health Care,Jewelry Cleaning & Care,"['Kitchen Towels', 'Kale', 'Neon Signs', 'Snare Drums', 'KVM Switches', 'Poker Chips & Sets', 'Air Fresheners', 'Conference Room Tables', 'Post Cards']"
Personal Care,Health Care,"['Weed Trimmer Accessories', 'Cauliflower', 'Molding', 'Lingerie', 'Grill Presses', 'Weaving Beaters', 'Wireless Routers', 'Shawls', 'Yoga & Pilates Blocks']"
Jewelry Cleaning & Care,Personal Care,"['Elliptical Trainers', 'Cajons', 'Gardening Tools', 'Hairdressing & Cosmetology', 'Dentistry', 'Motorcycle Elbow & Wrist Guards', 'Concrete Molds', 'Lighting Filters & Gobos', 'Compilers & Programming Tools']"
Bathroom Accessories,Business & Home Security,"['Multi-Game Tables', 'Canoes', 'Strike Shields', 'Retail & Sale Signs', 'Wall Socket Controls & Sensors', 'Shelving Accessories', 'Tarps', 'Saxophone Pad Savers', 'Salad Toppings']"
Wood Stoves,Bathroom Accessories,"['Horse Boots & Leg Wraps', 'Aircraft Parts & Accessories', 'Eyebrow Enhancers', 'Bicycle Tire Repair Supplies & Kits', 'Ice Climbing Tools', 'Check Presenters', 'Carving Chisels & Gouges', 'Soccer Fan Accessories', 'Fertility Monitors and Ovulation Tests']"
Business & Home Security,Decor,"['Fishing Sinkers', 'Digital Music Downloads', 'Mattock & Pickaxe Handles', 'Hatches', 'Septic Tank & Cesspool Treatments', 'Hobbies & Creative Arts', 'Cuffs', 'False Eyelash Accessories', 'Gas Hoses']"
Decor,Emergency Preparedness,"['Wheelchairs', 'Converters', 'Reptile & Amphibian Supplies', 'Astringents', 'Vehicle Remote Keyless Systems', 'Laptop Hinges', 'Riding Scooters', 'Tool Blades', 'Aquarium Stands']"
Fireplace & Wood Stove Accessories,Emergency Preparedness,"['Party Supplies', 'Label Clips', 'Wagons', 'Boat Storage Racks', 'Dairy Products', 'Inflatable Bouncers', 'Batter & Coating Mixes', 'Sheet Protectors', 'Optics']"
Fireplace & Wood Stove Accessories,Fireplaces,"['Bakery Boxes', 'Tubas', 'Woodwind Reed Knives', 'Badminton Racquets & Sets', 'Music Stand Bags', 'Saxophone Ligatures & Caps', 'Paper Coin Wrappers & Bill Straps', 'Developing Tanks & Reels', 'TV Converter Boxes']"
Fireplaces,"Flood, Fire & Gas Safety","['Tool Sockets', 'Sippy Cups', 'Shopping Totes', 'Liquid Hand Soap', 'White Coats', 'Jewelry Holders', 'Fingerprint Readers', 'Breadfruit', 'Toilet Seat Covers']"
Household Appliance Accessories,"Flood, Fire & Gas Safety","['Mouthwash', 'Ostomy Supplies', 'Printer Maintenance Kits', 'Wire Terminals & Connectors', 'Yoga & Pilates Towels', 'Filters & Screens', 'Billiard Cue Chalk', 'Towed Water Sport Gloves', 'Bass Drum Beaters']"
Household Appliance Accessories,Household Appliances,"['Apricots', 'Radar Detectors', 'Oboe Care Kits', 'Captains Armbands', 'Hand Percussion Accessories', 'Money Handling', 'Softballs', 'Soccer Uniforms', 'Onions']"
Household Supplies,Household Appliances,"['Frosting & Icing', 'Trumpets & Cornets', 'Bicycle Derailleurs', 'Pregnancy Tests', 'Office Rubber Stamps', 'Clarinet Reeds', 'Diaper Pail Accessories', 'Display Mannequins', 'Yo-Yos']"
Kitchen & Dining,Household Supplies,"['Inner Tents', 'Air Mattress & Sleeping Pad Accessories', 'Boat Ladders', 'Borescopes', 'Sink Accessories', 'Sharpeners', 'Phone & Data Jacks', 'Printer Filters', 'Cosmetics']"
Kitchen & Dining,Lawn & Garden,"['Skorts', 'Outdoor Sofas', 'Futons', 'Components', 'Remote Control Motorcycles', 'Karaoke Chips', 'Tabi Socks', 'Pens', 'Basketball Fan Accessories']"
Lighting,Lawn & Garden,"['Bicycle Brake Sets', 'Bicycle Seatposts', 'Eyeglasses', 'Printer, Copier & Fax Machine Accessories', 'Ice Skate Parts & Accessories', 'Casual Kimonos', 'Golf Clubs', 'Ski & Snowboard Bags', 'Bicycle Protective Pads']"
Lighting Accessories,Lighting,"['Bicycle Parts', 'Yogurt', 'Ball Pumps', 'Marbles', 'Water Filter Cartridges', 'Insoles & Inserts', 'Fingerboards & Fingerboard Sets', 'Door Bells & Chimes', 'Shampoo']"
Linens & Bedding,Lighting Accessories,"['Woodwind Cork Grease', 'Lens Hoods', 'Building Toys', 'ATVs & UTVs', 'Shuffleboard Tables', 'Pet Waste Disposal Systems & Tools', 'Chippers', 'Advice Cards', 'Gift Wrapping']"
Parasols & Rain Umbrellas,Linens & Bedding,"['Motor Vehicle Braking', 'Rebar & Remesh', 'Anchor Lines & Ropes', 'Fingerboards & Fingerboard Sets', 'Swaddling Blankets', 'Boxing Autographed Paraphernalia', 'Saddle Covers & Cases', 'Gas Hoses', 'Erotic Magazines']"
Plants,Parasols & Rain Umbrellas,"['Inner Tents', 'Heating, Ventilation & Air Conditioning', 'Lacrosse Training Aids', 'Facial Cleansers', 'Tubas', 'Earplug Dispensers', 'Electronics Component Connectors', 'Clear Kerosene', 'Paintball']"
Plants,Pool & Spa,"['Camera Lens Zoom Units', 'Lanyards', 'Air Quality Meters', 'Panel Saws', 'Water Sport Tow Cables', 'Otoscopes & Ophthalmoscopes', 'Prepared Foods', 'Finger Cots', 'Pipe Adapters & Bushings']"
