query_label	positive_label	negatives_label
Handbags, Wallets & Cases	Shoe Accessories	['Bicycle Tools', 'Diaper Rash Treatments', 'Food Mixer & Blender Accessories', 'Coils', 'Motorcycle Kidney Belts', 'Lawn Games', 'Laptop Replacement Cables', 'Oboe Parts', 'Ice Cream Novelties', 'Drinking Fountains']
Shoe Accessories	Jewelry	['Mobile Phone Pre-Paid Cards', 'Racquetball & Squash Gloves', 'Photographic Enlargers', 'Motor Vehicle Wheel Systems', 'Headphone Amplifiers', 'Baseball & Softball Pitching Mounds', 'Rocking Chairs', 'Disk Duplicators', 'Stair Steppers', 'Electronic Drum Modules']
Shoes	Jewelry	['Book Carts', 'Hi-Hats', 'Headphones & Headsets', 'Pool Floats & Loungers', 'Mustard', 'Volleyball Protective Gear', 'Household Cleaning Supplies', 'Air Conditioner Filters', 'Table Shuffleboard Powder', 'Trash Cans & Wastebaskets']
Shoes	Shoe Accessories	['Grip Spray & Chalk', 'Antenna Mounts & Brackets', 'Mobile Phones', 'American Football Chin Straps', 'Slipcovers', 'Live Bait', 'Audio Converters', 'Martial Arts Weapons', 'Dehumidifier Accessories', 'Office Chairs']
Event Tickets	Hobbies & Creative Arts	['Drill Presses', 'Garment Shields', 'Home Appliance Pumps', 'Throw Pillows', 'Fitness & Nutrition', 'Walking Aids', 'Landscape Fabric Accessories', 'Microscope Eyepieces & Adapters', 'Fishing Baits & Lures', 'Developing & Processing Equipment']
Event Tickets	Hobbies & Creative Arts	['Field Hockey Sticks', 'Photographic Enlargers', 'Door Strikes', 'Twist Ties & Bag Clips', 'Eye Wash Supplies', 'Racquetball & Squash Eyewear', 'Oats, Grits & Hot Cereal', 'Free Weight Storage Racks', 'Pepper', 'DJ CD Players']
Party & Celebration	Event Tickets	['Cotton Balls', 'American Football Rib Protection Shirts & Vests', 'Dustpans', 'Karaoke Systems', 'Bread Boxes & Bags', 'Cooking Starch', 'Bicycle Tire Valve Caps', 'Pry Bars', 'Optics', 'Water Filters']
Party & Celebration	Event Tickets	['Surgical Lubricants', 'Mattress Encasements', 'Shop Towels & General-Purpose Cleaning Cloths', 'Horse Fly Masks', 'Twist Ties & Bag Clips', 'Motor Vehicle Tires', 'Umpire Indicators', 'Camera Lens Accessories', 'Tent Accessories', 'Smoke Detectors']
Hobbies & Creative Arts	Party & Celebration	['Rebar Locators', 'Print Trays, Washers & Dryers', 'Polishers & Buffers', 'Garage Floor Mats', 'Ballasts & Starters', 'Rocking Chairs', 'Bicycle Hubs', 'Business Cards', 'Motorcycle Helmets', 'Pet Training Sprays & Solutions']
Party & Celebration	Hobbies & Creative Arts	['Sports Megaphones', 'Electric Skillets & Woks', 'Poker & Game Tables', 'Toothbrush Replacement Heads', 'Garment Bags', 'Hair Dryers', 'Cookware', 'Networking', 'Studio Stands & Mounts', 'Laundry Balls']
Baby Bathing	Baby Gift Sets	['Baby & Toddler Bottoms', 'Watch Accessories', 'Live Animals', 'Interactive Kiosks', 'Food Smokers', 'Bassoon Swabs', 'Shipping Tags', 'Motor Vehicle Lighting', 'Hubs & Switches', 'Poker Chips & Sets']
Baby Health	Baby Bathing	['Punch Bowl Stands', 'Prisms', 'Screen Printing Squeegees', 'Sports Uniforms', 'Business Forms & Receipts', 'Pumice Stones', 'Bicycle Cranks', 'Paper & Plastic Shopping Bags', 'Jewelry Holders', 'Ice Cream Cones']
Baby Bathing	Potty Training	['Place Card Holders', 'Transducers', 'Paper Napkins', 'Roofing', 'Pet Apparel Hangers', 'House Numbers & Letters', 'Breadsticks', 'Vodka', 'Paintball & Airsoft Gloves', 'Tom-Toms']
Baby Bathing	Swaddling & Receiving Blankets	['Play Money & Banking', 'Serving Pitchers & Carafes', 'Garden Borders & Edging', 'Kitchen & Dining Furniture Sets', 'Yogurt Makers', 'Flood, Fire & Gas Safety', 'Countertop & Toaster Ovens', 'Coolers', 'Woodwind Instrument Accessories', 'Response Cards']
Baby Health	Baby Gift Sets	['Fitness Toy Accessories', 'FM Transmitters', 'Award Pins & Medals', 'Snowshoeing', 'USB Adapters', 'Paint Shakers', 'Gun Cleaning Solvents', 'Network Storage Systems', 'Ice Cream Novelties', 'Surgical Needles & Sutures']
Baby Gift Sets	Baby Safety	['Blankets', 'Marker & Highlighter Ink Refills', 'Basketball Uniforms', 'Paintball Hoppers', 'Pool Covers & Ground Cloths', 'Docking & Anchoring', 'Sword Stands & Displays', 'Water Polo', 'Pricing Guns', 'Dresses']
Baby Gift Sets	Swaddling & Receiving Blankets	['Toy Trucks & Construction Vehicles', 'Watch Repair Kits', 'Sanding Accessories', 'Watercraft Carburetors & Parts', 'Chandeliers', 'Hammer Accessories', 'Dryers', 'Golf Bags', 'Thermal Cookers', 'Prayer Cards']
Baby Health	Baby Safety	['Replacement Drink Lids', 'Fabric Softeners & Dryer Sheets', 'Hair Pins, Claws & Clips', 'Skateboarding Gloves', 'Bowling Wrist Supports', 'Televisions', 'Retouching Equipment & Supplies', 'Checkbook Covers', 'Baking Peels', 'Couscous']
Baby Health	Baby Toys & Activity Equipment	['Powdered Beverage Mixes', 'Shoelaces', 'Tubas', 'Cookware Accessories', 'Yo-Yo Parts & Accessories', 'Urinary Tract Infection Tests', 'Printer Filters', 'Steam Table Pan Covers', 'Ice Cream Novelties', 'Lacrosse Stick Heads']
Baby Toys & Activity Equipment	Baby Safety	['Life Jacket Accessories', 'Sewing Machine Feet', 'Craft Knife Blades', 'Collectible Banknotes', 'Lighting', 'Plumbing Regulators', 'Scanner Accessories', 'Motor Vehicle Suspension Parts', 'Sustain Pedals', 'Lighters & Matches']
Baby Transport	Baby Safety	['Hammers', 'Bald Caps', 'Socket Drivers', 'Voice Recorders', 'Skin Care Extractors', 'Peaches & Nectarines', 'Cymbal & Drum Cases', 'Fence Panels', 'Cast & Bandage Protectors', 'Correction Fluids, Pens & Tapes']
Baby Transport	Baby Toys & Activity Equipment	['Track Lighting Rails', 'Night Lights & Ambient Lighting', 'Can & Bottle Sleeves', 'Stuffed Animals', 'Cheese', 'Disposable Plates', 'Chafing Dishes', 'Radar Jammers', 'Pest Control', 'Badge & Pass Holders']
Baby Toys & Activity Equipment	Baby Transport Accessories	['Toner & Inkjet Cartridges', 'RAM', 'Router Tables', 'Spotting Scopes', 'Studio Lights & Flashes', 'Bananas', 'Bicycle Cleat Accessories', 'Hearing Aids', 'Handheld & PDA Software', 'Pet Training Sprays & Solutions']
Baby Transport	Baby Transport Accessories	['Snowboard Binding Parts', 'Vehicle Seat Belts', 'Digital Video Recorders', 'Puppet & Puppet Theater Accessories', 'Petticoats & Pettipants', 'Metronomes', 'Vehicle Water Sport Board Racks', 'Back Scratchers', 'Barrettes', 'Crib Conversion Kits']
Baby Transport	Diapering	['Cache Memory', 'Gelatin Molds', 'Weather Vanes & Roof Decor', 'Disposable Serveware', 'Remote Control Cars & Trucks', 'American Football Gloves', 'Steam Presses', 'Electrical Plug Caps', 'Bungee Cords', 'Well Supplies']
Diapering	Baby Transport Accessories	['Storage & Entryway Benches', 'Tablas', 'Fire Extinguisher & Equipment Storage', 'Pull Buoys', 'Watercraft Motor Mounts', 'Magnetizers & Demagnetizers', 'Floss Sugar', 'Shoe Brushes', 'Team Handball', 'Body Powder']
Nursing & Feeding	Baby Transport Accessories	['Drill & Screwdriver Bits', 'Surveying', 'Tennis Balls', 'Water Sport Board Storage Racks', 'Poker Chips & Sets', 'Office Furniture Accessories', 'Phono Preamps', 'Arrow Parts & Accessories', 'Bicycle Helmet Parts & Accessories', 'Tents']
Nursing & Feeding	Diapering	['Vehicle Air Fresheners', 'Massage Stones', 'Fishing Yarn', 'Coffee Decanter Warmers', 'Avalanche Probes', 'Marine Electronics', 'Fishing Traps', 'Microscope Replacement Bulbs', 'Piercing Supplies', 'Disposable Gloves']
Diapering	Potty Training	['Awning Accessories', 'Hedge Trimmer Attachments', 'Ramekins & Souffle Dishes', 'Label Clips', 'Laptop Housings & Trim', 'Oats, Grits & Hot Cereal', 'Japanese Black Formal Wear', 'Officiating Uniforms', 'Bicycle Groupsets', 'Barrettes']
Nursing & Feeding	Potty Training	['Lawn Mower Blades', 'Boomboxes', 'Outdoor Power Equipment Base Units', 'Steam Press Accessories', 'Trade Show Counters', 'Security Safes', 'Vehicles', 'Channel Strips', 'Construction Lines', 'Golf Balls']
Swaddling & Receiving Blankets	Nursing & Feeding	['Hair Permanents & Straighteners', 'Toy Drawing Tablets', 'Canned & Jarred Fruits', 'Pagers', 'Cover Scents & Scent Attractants', 'Homebrewing & Winemaking Kits', 'Watercraft', 'Office Furniture Accessories', 'Pipe Connectors', 'Plumbing Fixture Hardware & Parts']
Potty Training	Swaddling & Receiving Blankets	['Sink Legs', 'Vehicle Wraps', 'Postage Meters', 'Vehicle Hitch Covers', 'Charcoal Chimneys', 'Food Graters & Zesters', 'Motorcycle Pants', 'Food Storage Containers', 'Piercing Supplies', 'Bath Caddies']
Agriculture	Advertising & Marketing	['Musical Instrument Amplifier Tubes', 'Outdoor Seating', 'Tennis Racquet Grips & Tape', 'Science & Exploration Sets', 'HVAC Controls', 'Toothpaste', 'Tofu', 'Jewelry Cleaning Tools', 'Nursing Covers', 'Portable Cooking Stove Accessories']
Advertising & Marketing	Automation Control Components	['Ski & Snowboard Helmets', 'Nail Polish Drying Drops & Sprays', 'Pet Leash Extensions', 'Row Boats', 'Magnifiers', 'Audio & Video Receivers', 'Chains', 'Drinking Games', 'Pry Bars', 'Storage & Organization']
Advertising & Marketing	Signage	['Uniforms', 'Zipper Pulls', 'Trivets', 'Trunks', 'Baby & Toddler Diaper Covers', 'Quivers', 'Firewood & Fuel', 'Measuring Wheels', 'Foil', 'Infrared Thermometers']
Work Safety Protective Gear	Advertising & Marketing	['Fans', 'Audio', 'Martial Arts Shorts', 'Broom & Mop Handles', 'Drill Stands & Guides', 'Heat-Shrink Tubing', 'Pipe Connectors', 'Waffle Iron Accessories', 'Sugar Apples', 'Baby Toys & Activity Equipment']
Automation Control Components	Agriculture	['Soy Milk Makers', 'Badminton Nets', 'Lawn Mower Belts', 'Humidifiers', 'Pet Collars & Harnesses', 'Swimming Machines', 'Paint Brushes', 'Basketball Autographed Paraphernalia', 'Paintball & Airsoft', 'Tarot Cards']
Construction	Agriculture	['Bathtub & Shower Jets', 'Earrings', 'Rebar Locators', 'Cooktops', 'Scale Model Accessories', 'Airpots', 'Doilies', 'Kitchen Scrapers', 'Martial Arts Weapons', 'Toothpicks']
Agriculture	Work Safety Protective Gear	['All-Purpose Cleaners', 'Vacuum Sealer Accessories', 'Kites', 'Dartboards', 'Nightgowns', 'Breath Spray', 'Water Heater Elements', 'Bowling Toys', 'PAP Machines', 'Bench Scrapers']
Automation Control Components	Construction	['Baby Wipe Dispensers & Warmers', 'Guavas', 'Soccer Corner Flags', 'Bath Toys', 'Dolls, Playsets & Toy Figures', 'Audio Transmitters', 'Dog Food', 'Roasting Pan Racks', 'Bicycle Toe Straps & Clips', 'Pet Steps & Ramps']
Dentistry	Automation Control Components	['Cigars', 'Boxing Rings', 'Rugby Protective Gear', 'Guitar Straps', 'Peas', 'Fire Alarms', 'Cutter Accessories', 'Ironing Centers', 'Padfolios', 'Rocks & Fossils']
Dentistry	Construction	['Bathtub & Shower Jets', 'Baby Gift Sets', 'Ammunition', 'Window Hardware', 'Sugar Caddies', 'Art Brushes', 'Beach Mats', 'Special Occasion Card Boxes & Holders', 'Apple Butter', 'Hardware Glue & Adhesives']
Film & Television	Construction	['Elastic', 'Hair Shears', 'Wheelbarrow Parts', 'Circuit Prototyping', 'Marker Refills', 'Soccer', 'Disc Golf Bags', 'Air & Filter Dryers', 'Special Occasion Card Boxes & Holders', 'Dates']
Dentistry	Film & Television	['Dinnerware Sets', 'Okra', 'Keyboard Trays & Platforms', 'Cat Treats', 'Air Hockey Tables', 'Darkroom Sinks', 'Cricket Protective Gear', 'Electronics Component Connectors', 'Jigsaw Puzzles', 'Rakes']
Dentistry	Finance & Insurance	['Garden & Stepping Stones', 'Gravy', 'Ballet Barres', 'Digital Goods & Currency', 'Billiard Gloves', 'Bunion Care Supplies', 'Windsurfing Sails', 'Outdoor Power Equipment', 'Dancing', 'Erotic Food & Edibles']
Finance & Insurance	Film & Television	['Baby Monitors', 'Pipe & Tube Cleaners', 'Archery Targets', 'Household Cleaning Products', 'Shelving', 'Televisions', 'Roof Flashings', 'Bungee Cords', 'Chicory', 'Masonry Consumables']
Film & Television	Food Service	['Dollhouse Accessories', 'Chain, Wire & Rope', 'Horse Boots & Leg Wraps', 'Chemicals', 'Window Treatment Replacement Parts', 'Tennis Autographed Sports Paraphernalia', 'Foundations & Concealers', 'Arrows & Bolts', 'Hair Clippers & Trimmers', 'Volleyball Nets']
Finance & Insurance	Food Service	['Driver Accessories', 'Watercraft Storage Racks', 'Landscape Fabric Accessories', 'Tobacco Products', 'Harps', 'Ricers', 'Table Linens', 'Drum Sticks & Brushes', 'Bicycle Handlebar Grips & Decor', 'Canopy Poles']
Forestry & Logging	Finance & Insurance	['Starfruits', 'Watercraft Care', 'Drill Bit Sharpeners', 'Hanging Chair Replacement Parts', 'TV Tuner Cards & Adapters', 'Stovetop Kettles', 'Bean Bag Chairs', 'Work Lights', 'Saxophone Care Kits', 'General Purpose Battery Chargers']
Food Service	Forestry & Logging	['Field Hockey Sticks', 'Motor Vehicle A/V Players & In-Dash Systems', 'Motor Vehicle Power & Electrical Systems', 'Tea Strainers', 'De-icers', 'Bakery Assortments', 'Sugar Caddies', 'Stair Climber & Stepper Accessories', 'Bicycle Hub Parts', 'Soldering Iron Tips']
Food Service	Hairdressing & Cosmetology	['Vibration Exercise Machines', 'Water Levelers', 'Foam Blocks', 'Sprinkler Accessories', 'Motor Vehicle Sensors & Gauges', 'Tennis Racquet Accessories', 'Bicycle Wheel Axles & Skewers', 'Anchors', 'Brass Instrument Replacement Parts', 'Water Heater Expansion Tanks']
Hairdressing & Cosmetology	Forestry & Logging	['Flooring & Carpet', 'Power Sweepers', 'Carpet Shampooers', 'Stitch Markers & Counters', 'Watercraft Fuel Lines & Parts', 'Scarves', 'Golf Club Parts & Accessories', 'Ginger Root', 'Heating Pads', 'Climbing Ascenders & Descenders']
Forestry & Logging	Heavy Machinery	['Audio & Video Receiver Accessories', 'System & Power Cables', 'Headphones', 'Gun Holsters', 'Car Wash Brushes', 'Keyboards', 'Luggage Straps', 'Baby & Toddler Belts', 'Poncho Liners', 'Tool Keys']
Hairdressing & Cosmetology	Heavy Machinery	['Christmas Tree Skirts', 'Steam Press Accessories', 'Bicycle Computers', 'Soldering Iron Stands', 'Equestrian Helmets', 'Vehicle Alarms & Locks', 'Lawn Striping Kits', 'Luggage Tags', 'Trampoline Accessories', 'Filters & Screens']
Hotel & Hospitality	Hairdressing & Cosmetology	['Gear Ties', 'Dartboards', 'Foosball Tables', 'Tablecloth Clips & Weights', 'Digital Artwork', 'Circuit Prototyping', 'Karaoke System Accessories', 'Drum Kits', 'Mattocks & Pickaxes', 'Funnels']
Heavy Machinery	Hotel & Hospitality	['Mattress Foundations', 'Earplugs', 'Vehicle Tire Repair & Tire Changing Tools', 'Turntable Accessories', 'Furnaces & Boilers', 'Pet Bowls, Feeders & Waterers', 'Bibs', 'Bakery Assortments', 'American Football Gloves', 'Paper Towels']
Industrial Storage	Heavy Machinery	['Baby Safety Rails', 'Drain Frames', 'Watercraft Fuel Pumps & Parts', 'Audiobooks', 'Cookware & Bakeware', 'Photo Mounting Supplies', 'Augers', 'Vibraslaps', 'Toy Craft Kits', 'Crib & Toddler Bed Accessories']
Hotel & Hospitality	Industrial Storage	['Camera Grips', 'Diaper Kits', 'Accessibility Equipment', 'Saddle Bags & Panniers', 'Percussion', 'Sleeping Bags', 'Model Train Accessories', 'Mail Sorters', 'Household Appliances', 'Tool Sheaths']
Industrial Storage Accessories	Hotel & Hospitality	['Desktop Computers', 'Reptile & Amphibian Habitats', 'Toy Cookware', 'Passion Fruit', 'Wallets & Money Clips', 'Multifunction Writing Instruments', 'Latch & Locker Hooks', 'Tap Reseaters', 'Grout Sponges', 'Baskets']
Industrial Storage Accessories	Industrial Storage	['Antenna Accessories', 'Kaleidoscopes', 'Corn & Callus Care Supplies', 'Changing Tables', 'Tools', 'Tennis Racquet String', 'Metronomes', 'Scrapbooking Paper', 'Pet Steps & Ramps', 'Tool Keys']
Janitorial Carts & Caddies	Industrial Storage	['Fondue Set Accessories', 'Prefabricated Kitchens & Kitchenettes', 'Masonry Trowels', 'Portfolios & Padfolios', 'Video Memory', 'Brass Instrument Mutes', 'Bicycle Pedals', 'Cabinets & Storage', 'Geiger Counters', 'Outdoor Furniture Sets']
Industrial Storage Accessories	Janitorial Carts & Caddies	['Wreath & Floral Frames', 'Sports Megaphones', 'Horseradish Root', 'MP3 Players', 'Air Quality Meters', 'Leaf Blowers', 'Model Rocketry', 'Floss Sugar', 'Closet Organizers & Garment Racks', 'Knee-Length Skirts']
Industrial Storage Accessories	Law Enforcement	['Pilates Machines', 'Exercise & Fitness Equipment Manuals', 'Computer Starter Kits', 'Shelving', 'Insoles & Inserts', 'Concrete & Masonry Cleaners', 'False Eyelash Remover', 'Water Ski Cases & Bags', 'Anemometers', 'Scanner Accessories']
Janitorial Carts & Caddies	Law Enforcement	['Bulletin Boards', 'Astronomy Toys & Models', 'Chainsaw Chains', 'Film & Television DVDs', 'Pickleballs', 'Science & Exploration Sets', 'Bows & Crossbows', 'Sewing Machine Replacement Parts', 'Outdoor Misting Systems', 'Gardening Trowels']
Janitorial Carts & Caddies	Manufacturing	['Snowshoe Bindings', 'Skateboards', 'Planes', 'Pool Cleaner Hoses', 'Clarinet Straps & Supports', 'Squares', 'Mop Heads & Refills', 'Audio Converters', 'Burp Cloths', 'Camera Gears']
Law Enforcement	Manufacturing	['Decorative Stamps', 'Award Certificates', 'Patio Heater Accessories', 'Woodwind Reed Knives', 'Eye Pillows', 'Outdoor Grill Covers', 'Contract Mobile Phones', 'Play Mats', 'Baby Monitors', 'Power Converters']
Law Enforcement	Material Handling	['Salad Dressing Mixers & Shakers', 'Headdresses', 'Lawn Vacuums', 'Diaper Bags', 'Billiard Cue Racks', 'Surveillance Cameras', 'Wok Accessories', 'Boxing Autographed Paraphernalia', 'Pruning Saws', 'Brussel Sprouts']
Material Handling	Manufacturing	"['Baby Safety Rails', 'Bread Pans & Molds', ""Chef's Pants"", 'Laptop Replacement Screens', 'Combs & Brushes', 'Drink Sleeves', 'Canopies & Gazebos', 'Nursing Pads & Shields', 'Composting', 'Spinning Wheel Accessories']"
Medical	Manufacturing	['Motor Vehicle Speakerphones', 'Airsoft Gun Batteries', 'Surfboard Fins', 'Garden Hose Storage', 'Pet Food Containers', 'MP3 Player Cases', 'Hand Percussion', 'Papier Mache Mixes', 'Office Supplies', 'Popcorn']
Material Handling	Medical	['Guavas', 'Personal Care', 'Cardoon', 'Bicycle Helmets', 'Crafting Fibers', 'Portable Toilets & Showers', 'Telephone Cables', 'Cat Apparel', 'Aquarium Filters', 'Stopwatches']
Material Handling	Mining & Quarrying	['Elastic', 'Motor Vehicle Clutch Alignment & Removal Tools', 'Foot Care', 'Lawn Vacuums', 'Beverage Warmers', 'Soccer Protective Gear', 'Foosball Tables', 'Waffle & Pancake Mixes', 'Effects Processors', 'Collectibles']
Medical	Mining & Quarrying	['Avalanche Safety Airbags', 'Kitchen Molds', 'Musical Instrument Amplifier Footswitches', 'Vehicle Repair & Specialty Tools', 'Horse Clippers & Trimmers', 'Weight Bar Collars', 'Motorcycle Jackets', 'Baking Weights', 'Cabinet Knobs & Handles', 'Mortars & Pestles']
Medical	Piercing & Tattooing	['Underwear', 'Cross-Country Skis', 'Pie & Quiche Pans', 'On-Camera Monitors', 'Tricycles', 'Curtain Holdbacks & Tassels', 'Toilet Bowl Cleaners', 'Weaving Beaters', 'Coffee Maker & Espresso Machine Replacement Parts', 'Charcoal Briquettes']
Piercing & Tattooing	Mining & Quarrying	['Recorder Parts', 'Bicycle Shock Pumps', 'Atemoyas', 'Activewear', 'Longan', 'Household Thermometers', 'Musical Instrument & Orchestra Accessories', 'Roof Flashings', 'Crafting Patterns & Molds', 'Baby & Pet Gates']
Mining & Quarrying	Retail	"[""Chef's Pants"", 'Windsurfing Board Fins', 'Pet First Aid & Emergency Kits', 'Cocktail Shakers', 'Equestrian Helmets', 'Studio Stands & Mounts', 'Audio Converters', 'Household Drawer Organizer Inserts', 'Off-Road and All-Terrain Vehicles', 'Collectible Weapons']"
Retail	Piercing & Tattooing	['Bicycle Headset Bearings', 'Voltage Transformers & Regulators', 'Office Chair Accessories', 'Gin', 'Double Boilers', 'Bassoon Small Parts', 'Pencil Lead & Refills', 'Baby Protective Wear', 'Windsurfing', 'Vehicle Display Flags']
Piercing & Tattooing	Science & Laboratory	['Horse Boots & Leg Wraps', 'Absinthe', 'Tree Stands', 'Bathtubs', 'Hair Dryers', 'Bicycle Derailleurs', 'Paper & Magnetic Dolls', 'Airbrushes', 'Vinegar', 'Erotic Food & Edibles']
Science & Laboratory	Retail	['Coffee Makers & Espresso Machines', 'Cymbals', 'Filing & Organization', 'Erotic', 'Fabric', 'Household Thermometers', 'Cabinet Catches', 'Cordless Phone Batteries', 'Table Saws', 'Flash Memory Cards']
Retail	Signage	['Hair Permanents & Straighteners', 'Telescope Accessories', 'Horseradish Root', 'Tablet Computer Screens & Screen Digitizers', 'Bicycle Cleats', 'Pudding & Gelatin Snacks', 'Bow & Crossbow Accessories', 'Motor Vehicles', 'Watch Winders', 'Filling Pellets']
Signage	Science & Laboratory	['Craft Pipe Cleaners', 'Pole Dancing Kits', 'Art & Craft Paint', 'Water Heater Pans', 'Paint Tool Accessories', 'Diving Belts', 'Billiard Pockets', 'Wall Mount Fans', 'Pizza Pans', 'Sports Toy Accessories']
Work Safety Protective Gear	Science & Laboratory	['Bicycle Parts', 'Surveillance Camera Lenses', 'Knife Blocks & Holders', 'Converters', 'Spas', 'Nail Clippers', 'Fingerprint Readers', 'Light Bulbs', 'Painting Consumables', 'Garden Arches, Trellises, Arbors & Pergolas']
Signage	Work Safety Protective Gear	['Bra Strap Pads', 'Artwork', 'Sandwich Makers', 'Textile Craft Machines', 'Mechanical Pencils', 'Carbon Monoxide Detectors', 'Musical Instruments', 'Pepper', 'Vase Fillers & Table Scatters', 'Aquarium Gravel & Substrates']
Cameras	Camera & Optic Accessories	['Pruning Shears', 'Lip & Cheek Stains', 'Automotive Alarm Accessories', 'Office Tape', 'Hairdressing & Cosmetology', 'Skate Lace Tighteners', 'Ladders', 'Salad Dressing', 'Compilers & Programming Tools', 'Brussel Sprouts']
Camera & Optic Accessories	Optics	['Fitness Toy Accessories', 'Yams', 'Miter Saw Accessories', 'Vehicle Wraps', 'Wrestling Uniforms', 'Shoe Brushes', 'Disk Duplicators', 'Mice & Trackball Accessories', 'Espresso Machines', 'Bicycle Headset Spacers']
Camera & Optic Accessories	Photography	['Horse Harnesses', 'Recorder Care & Cleaning', 'Craft Knife Blades', 'Hockey Shin Guards & Leg Pads', 'Oboe Parts', 'Bird & Wildlife Houses', 'Boxing Autographed Paraphernalia', 'Squeegees', 'Media Storage Cabinets & Racks', 'Skateboard Trucks']
Optics	Cameras	['Martial Arts Shorts', 'Air Hockey', 'Garters', 'Cat Treats', 'Microcontrollers', 'Hammer Accessories', 'Crêpe & Blini Pans', 'Hand Spindles', 'Drum Kit Hardware', 'Automation Control Components']
