category,label,moved,original,orig_label,prediction,pred_label,wup_sim
552,Art Drawings,False,550,Art,550,Art,1.0
553,Art Sculptures,False,550,Art,550,Art,1.0
554,Mixed Media Art & Collage Art,True,550,Art,11783,Art Supplies,0.0
556,Collectible Calendars (1960-1979),False,41183,Collectible Calendars,41183,Collectible Calendars,1.0
563,Collectible Glass Beer Bottles,True,562,Breweriana & Beer Collectibles,3920,Collectible Beer Drinkware & Steins,0.8
565,Collectible Beer Coasters,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles,1.0
566,Collectible Beer Openers,True,562,Breweriana & Beer Collectibles,3920,Collectible Beer Drinkware & Steins,0.8
567,Collectible Beer Labels,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles,1.0
568,Pre-Prohibition Beer Collectibles,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles,1.0
572,Collectible Beer Trays,False,562,Breweriana & Beer Collectibles,562,Breweriana & Beer Collectibles,1.0
580,Collectible Open Salts,False,261667,Collectible Dinnerware & Serveware,261667,Collectible Dinnerware & Serveware,1.0
583,Military Original Period Items (1903-1913),False,156387,Militaria (1903-1913),156387,Militaria (1903-1913),1.0
586,Original Korean Military Period Items (1950-1953),False,156440,Korean Militaria (1950-1953),156440,Korean Militaria (1950-1953),1.0
591,Godzilla Collectibles,False,152,Sci-Fi & Horror Collectibles,152,Sci-Fi & Horror Collectibles,1.0
594,Collectible Tobacco Ashtrays,False,593,Tobacciana,593,Tobacciana,1.0
599,Collectible Vanity Accessories,False,597,"Vanity, Perfume & Shaving Collectibles",597,"Vanity, Perfume & Shaving Collectibles",1.0
600,Collectible Cosmetic Compacts (Unknown Date),False,35979,Collectible Cosmetic Compacts,35979,Collectible Cosmetic Compacts,1.0
601,Collectible Hatpins,False,597,"Vanity, Perfume & Shaving Collectibles",597,"Vanity, Perfume & Shaving Collectibles",1.0
605,Collectible Sewing Machines,False,113,Sewing Collectibles (1930-Now),113,Sewing Collectibles (1930-Now),1.0
617,DVDs & Blu-ray Discs,False,11232,Movies & TV,11232,Movies & TV,1.0
675,Used US Stamps (19th Century),False,261,United States Stamps,261,United States Stamps,1.0
676,Unused US Stamps (19th Century),False,261,United States Stamps,261,United States Stamps,1.0
678,Used US Stamps (1901-Now),False,261,United States Stamps,261,United States Stamps,1.0
679,Unused US Stamps (1941-Now),False,261,United States Stamps,261,United States Stamps,1.0
680,US Back of Book Air Mail Stamps,False,47141,US Back of Book Stamps,47141,US Back of Book Stamps,1.0
682,US Postal Stamp Plate Blocks & Multiples,False,261,United States Stamps,261,United States Stamps,1.0
683,US Stamp Collections & Lots,False,261,United States Stamps,261,United States Stamps,1.0
685,US Back of Book Duck Stamps,False,47141,US Back of Book Stamps,47141,US Back of Book Stamps,1.0
686,"US Stamp Errors, Freaks & Oddities",False,261,United States Stamps,261,United States Stamps,1.0
687,US First Day Covers (2001-Now),False,139779,US First Day Covers (1951-Now),139779,US First Day Covers (1951-Now),1.0
688,US Possessions Stamps,False,261,United States Stamps,261,United States Stamps,1.0
689,US Postal History Covers,False,47147,US Stamp Covers,47147,US Stamp Covers,1.0
690,US Revenue Stamps,True,47141,US Back of Book Stamps,4752,Topical Postal Stamps,0.4
691,US Back of Book Postal Cards & Stationery,False,47141,US Back of Book Stamps,47141,US Back of Book Stamps,1.0
698,"Worldwide Stamp Errors, Freaks, Oddities",False,181420,Worldwide Stamps,181420,Worldwide Stamps,1.0
700,Worldwide First Day Covers,False,181420,Worldwide Stamps,181420,Worldwide Stamps,1.0
701,Postal Stamp Publications,False,181421,Postal Stamp Publications & Supplies,181421,Postal Stamp Publications & Supplies,1.0
714,US Native American Masks & Headdresses (1935-Now),True,13749,US Native American Collectibles (1935-Now),713,US Native American Collectibles,0.8571428571428571
715,US Native American Artifacts (Pre-1600),True,13742,US Native American Collectibles (Pre-1600),713,US Native American Collectibles,0.8571428571428571
719,Battery Operated Toys (Pre-1970),False,19072,Battery Operated Toys,19072,Battery Operated Toys,1.0
721,Vintage & Antique Cast Iron Toys,False,717,Vintage & Antique Toys,717,Vintage & Antique Toys,1.0
722,Vintage & Antique Celluloid Toys,False,717,Vintage & Antique Toys,717,Vintage & Antique Toys,1.0
723,Vintage & Antique Character Toys,False,717,Vintage & Antique Toys,717,Vintage & Antique Toys,1.0
725,Vintage & Antique Paper Toys,False,717,Vintage & Antique Toys,717,Vintage & Antique Toys,1.0
726,Pedal Cars (Pre-1970),False,19021,Pedal Cars,19021,Pedal Cars,1.0
727,Vintage & Antique Play Sets,False,717,Vintage & Antique Toys,717,Vintage & Antique Toys,1.0
728,Vintage & Antique Pull Toys,False,717,Vintage & Antique Toys,717,Vintage & Antique Toys,1.0
729,Pretend Play Puppets (Pre-1970),False,19180,Pretend Play Puppets,19180,Pretend Play Puppets,1.0
732,Ride-Ons & Tricycles (Pre-1970),False,19023,Ride-Ons & Tricycles,19023,Ride-Ons & Tricycles,1.0
733,Space Toys (Pre-1970),False,19200,Space Toys,19200,Space Toys,1.0
734,Toy Soldiers (Pre-1970),False,2631,Toy Soldiers,2631,Toy Soldiers,1.0
740,Vintage Manufacture Diecast Construction Equipment,True,180274,Diecast Construction Equipment,222,Diecast & Toy Vehicles,0.8
741,Vintage Manufacture Diecast Farm Vehicles,False,180275,Diecast Farm Vehicles,180275,Diecast Farm Vehicles,1.0
742,Vintage Manufacture Diecast Motorcycles & ATVs,True,180276,Diecast Motorcycles & ATVs,180273,"Diecast Cars, Trucks & Vans",0.6666666666666666
747,Godzilla Toys,True,19193,Monster Toys,19192,"Robot, Monster & Space Toys",0.8
750,Star Trek Collectible Action Figures,False,29493,Star Trek Collectibles,29493,Star Trek Collectibles,1.0
767,Fast Food Premiums,False,19077,Fast Food & Cereal Premiums,19077,Fast Food & Cereal Premiums,1.0
781,Warner Bros. Stuffed Animals,False,436,Stuffed Animals,436,Stuffed Animals,1.0
785,Babylon 5 Collectibles,True,152,Sci-Fi & Horror Collectibles,10860,"Fantasy, Mythical & Magic Collectibles",0.5
795,Collectible Insulators,False,29797,Collectible Bottles & Insulators,29797,Collectible Bottles & Insulators,1.0
796,Collectible Advertising Characters & Dolls,False,13623,Advertising Merchandise & Memorabilia,13623,Advertising Merchandise & Memorabilia,1.0
797,Collectible Advertising Clocks,False,13623,Advertising Merchandise & Memorabilia,13623,Advertising Merchandise & Memorabilia,1.0
798,Collectible Advertising Store Displays,False,13623,Advertising Merchandise & Memorabilia,13623,Advertising Merchandise & Memorabilia,1.0
799,Collectible Advertising Labels,False,13623,Advertising Merchandise & Memorabilia,13623,Advertising Merchandise & Memorabilia,1.0
800,"Collectible Advertising Premiums, Prizes & Charms",False,13623,Advertising Merchandise & Memorabilia,13623,Advertising Merchandise & Memorabilia,1.0
801,Collectible Advertising Tins,False,13623,Advertising Merchandise & Memorabilia,13623,Advertising Merchandise & Memorabilia,1.0
803,Collectible Advertising Trays,False,13623,Advertising Merchandise & Memorabilia,13623,Advertising Merchandise & Memorabilia,1.0
804,Original Advertising Signs (1970-Now),True,37840,Original Advertising Signs,10804,Collectible Advertising Signs,0.8888888888888888
807,American Airlines Collectibles,False,805,Airline Collectibles,805,Airline Collectibles,1.0
808,Braniff Airlines Collectibles,False,805,Airline Collectibles,805,Airline Collectibles,1.0
809,Delta Airlines Collectibles,False,805,Airline Collectibles,805,Airline Collectibles,1.0
810,Eastern Airlines Collectibles,False,805,Airline Collectibles,805,Airline Collectibles,1.0
811,Pan Am Airlines Collectibles,False,805,Airline Collectibles,805,Airline Collectibles,1.0
812,Piedmont Airlines Collectibles,False,805,Airline Collectibles,805,Airline Collectibles,1.0
813,TWA Airlines Collectibles,False,805,Airline Collectibles,805,Airline Collectibles,1.0
822,Jack Daniel's Advertising Collectibles,True,820,Collectible Distillery Advertising,35656,Distillery Advertising Merchandise,0.8888888888888888
823,Jim Beam Advertising,True,820,Collectible Distillery Advertising,35656,Distillery Advertising Merchandise,0.8888888888888888
825,Old Crow Advertising,True,820,Collectible Distillery Advertising,35656,Distillery Advertising Merchandise,0.8888888888888888
830,Allis Chalmers Agriculture Advertising,False,827,Collectible Agriculture Advertising,827,Collectible Agriculture Advertising,1.0
831,International Harvester Advertising,False,827,Collectible Agriculture Advertising,827,Collectible Agriculture Advertising,1.0
832,Phillips 66 Advertising,False,156204,Collectible Gas & Oil Company Advertising,156204,Collectible Gas & Oil Company Advertising,1.0
833,Shell Gas & Oil Advertising,True,156204,Collectible Gas & Oil Company Advertising,39,Collectible Gas & Oil Advertising,0.8571428571428571
834,Mobil Gas & Oil Advertising,True,156204,Collectible Gas & Oil Company Advertising,39,Collectible Gas & Oil Advertising,0.8571428571428571
835,Pennzoil Advertising,False,156204,Collectible Gas & Oil Company Advertising,156204,Collectible Gas & Oil Company Advertising,1.0
836,"Tydol, Veedol & Flying A Advertising",True,156204,Collectible Gas & Oil Company Advertising,39,Collectible Gas & Oil Advertising,0.8571428571428571
837,Quaker State Advertising,False,156204,Collectible Gas & Oil Company Advertising,156204,Collectible Gas & Oil Company Advertising,1.0
838,Chevron & Standard Oil Advertising,True,156204,Collectible Gas & Oil Company Advertising,165249,Gas & Oil Merchandise & Memorabilia,0.75
839,Exxon Advertising,False,156204,Collectible Gas & Oil Company Advertising,156204,Collectible Gas & Oil Company Advertising,1.0
841,Shoe Advertising (1950-1979),False,840,Collectible Shoe Advertising,840,Collectible Shoe Advertising,1.0
842,Shoe Advertising (1920-1949),False,840,Collectible Shoe Advertising,840,Collectible Shoe Advertising,1.0
843,Shoe Advertising (Pre-1920),False,840,Collectible Shoe Advertising,840,Collectible Shoe Advertising,1.0
846,Radio Advertising,False,13585,Collectible Communication & Utility Advertising,13585,Collectible Communication & Utility Advertising,1.0
851,Big Boy Advertising,True,849,Collectible Restaurant & Fast Food Advertising,34,Collectible Advertising,0.8
852,Fountain Advertising,True,36,Collectible Soda Advertising,34,Collectible Advertising,0.8
853,Canada Dry Advertising,True,36,Collectible Soda Advertising,34,Collectible Advertising,0.8
855,7 UP Advertising,True,36,Collectible Soda Advertising,34,Collectible Advertising,0.8
856,Squirt Advertising,True,36,Collectible Soda Advertising,34,Collectible Advertising,0.8
857,Hires Root Beer Advertising,False,36,Collectible Soda Advertising,36,Collectible Soda Advertising,1.0
859,Utility Advertising,True,13585,Collectible Communication & Utility Advertising,34,Collectible Advertising,0.8
864,Humble Oil Advertising,True,156204,Collectible Gas & Oil Company Advertising,165249,Gas & Oil Merchandise & Memorabilia,0.75
874,M&M's Advertising,True,872,Collectible Candy & Nuts Advertising,13587,Collectible Food & Beverage Advertising,0.8571428571428571
875,Government Advertising,False,34,Collectible Advertising,34,Collectible Advertising,1.0
876,Soap & Detergent Advertising,True,13595,Collectible Household Advertising,34,Collectible Advertising,0.8
877,Dr Pepper Advertising,True,36,Collectible Soda Advertising,34,Collectible Advertising,0.8
878,Soup Advertising,False,13587,Collectible Food & Beverage Advertising,13587,Collectible Food & Beverage Advertising,1.0
879,Telephone Advertising,False,13585,Collectible Communication & Utility Advertising,13585,Collectible Communication & Utility Advertising,1.0
885,Collectible Mechanical Banks,False,66503,"Bank, Register & Vending Collectibles",66503,"Bank, Register & Vending Collectibles",1.0
890,Collectible Bitters Bottles (Pre-1900),False,889,Collectible Antique Bottles (Pre-1900),889,Collectible Antique Bottles (Pre-1900),1.0
891,Collectible Flasks (Pre-1900),False,889,Collectible Antique Bottles (Pre-1900),889,Collectible Antique Bottles (Pre-1900),1.0
892,Collectible Jars (Pre-1900),False,889,Collectible Antique Bottles (Pre-1900),889,Collectible Antique Bottles (Pre-1900),1.0
893,"Collectible Food, Sauce & Condiment Bottles (Pre-1900)",False,889,Collectible Antique Bottles (Pre-1900),889,Collectible Antique Bottles (Pre-1900),1.0
894,Collectible Ink Bottles (Pre-1900),False,889,Collectible Antique Bottles (Pre-1900),889,Collectible Antique Bottles (Pre-1900),1.0
895,Collectible Medicine & Cure Bottles (Pre-1900),False,889,Collectible Antique Bottles (Pre-1900),889,Collectible Antique Bottles (Pre-1900),1.0
896,Collectible Mineral Water Bottles (Pre-1900),False,889,Collectible Antique Bottles (Pre-1900),889,Collectible Antique Bottles (Pre-1900),1.0
897,Collectible Poison Bottles (Pre-1900),False,889,Collectible Antique Bottles (Pre-1900),889,Collectible Antique Bottles (Pre-1900),1.0
929,Collectible Obsolete US Police Badges,False,167988,Collectible Obsolete Police Badges,167988,Collectible Obsolete Police Badges,1.0
930,Collectible New York Police Patches,False,39668,Collectible Police Patches,39668,Collectible Police Patches,1.0
932,Collectible Transistor Radios,False,931,Collectible Radios,931,Collectible Radios,1.0
933,Collectible Tube Radios (1960-Now),False,38032,Collectible Tube Radios,38032,Collectible Tube Radios,1.0
934,Collectible Radio Manuals,False,931,Collectible Radios,931,Collectible Radios,1.0
970,Collectible Inkwells,False,966,Collectible Pens & Writing Instruments,966,Collectible Pens & Writing Instruments,1.0
971,Collectible Pen & Writing Instrument Sets,False,966,Collectible Pens & Writing Instruments,966,Collectible Pens & Writing Instruments,1.0
985,Collectible Telephones (1970-Now),False,38036,Collectible Telephones,38036,Collectible Telephones,1.0
1041,Wind-Up & Walking Toys (1970-Now),False,19075,Wind-Up & Walking Toys,19075,Wind-Up & Walking Toys,1.0
1083,Furby Toys,True,1082,Electronic & Interactive Toys,220,Toys & Hobbies,0.5
1084,Tamagotchi,False,1082,Electronic & Interactive Toys,1082,Electronic & Interactive Toys,1.0
1105,Textbooks,False,184644,"Textbooks, Educational & Reference Books",184644,"Textbooks, Educational & Reference Books",1.0
1152,Disney Houseware (Pre-1968),True,139,Vintage Disney Collectibles (Pre-1968),95118,Contemporary Disney Housewares (1968-Now),0.5714285714285714
1185,Battery Operated Toys (1970-1989),False,19072,Battery Operated Toys,19072,Battery Operated Toys,1.0
1187,Space Toys (1970-Now),True,19200,Space Toys,19192,"Robot, Monster & Space Toys",0.8
1197,Wooden & Handcrafted Pretend Play Toys,False,19169,Preschool Toys & Pretend Play,19169,Preschool Toys & Pretend Play,1.0
1198,Vintage & Antique Toy Parts,False,717,Vintage & Antique Toys,717,Vintage & Antique Toys,1.0
1217,Antique Primitives,True,20081,Antiques,4707,Architectural & Garden Antiques,0.6666666666666666
1224,Winter Olympics Autographed Items,True,23798,Olympics Autographed Items,51,Original Sport Autographed Items,0.8
1226,Tennis Autographed Items,False,51,Original Sport Autographed Items,51,Original Sport Autographed Items,1.0
1227,Boxing Fan Apparel & Souvenirs,False,24409,Sports Fan Apparel & Souvenirs,24409,Sports Fan Apparel & Souvenirs,1.0
1228,Indy Racing Fan Apparel & Souvenirs,False,24409,Sports Fan Apparel & Souvenirs,24409,Sports Fan Apparel & Souvenirs,1.0
1244,Computer Motherboards,True,175673,Computer Components & Parts,182090,Motherboard Components & Accessories,0.8
1245,Computer Printers,False,171961,"Computer Printers, Scanners & Supplies",171961,"Computer Printers, Scanners & Supplies",1.0
1278,"Endurance & Energy Bars, Drinks & Pills",False,180959,Vitamins & Lifestyle Supplements,180959,Vitamins & Lifestyle Supplements,1.0
1285,Reptile Supplies,False,1281,Pet Supplies,1281,Pet Supplies,1.0
1288,Musical Instrument Other General Accessories,True,180008,Musical Instrument General Accessories,619,Musical Instruments & Gear,0.6666666666666666
1312,United Airlines Collectibles,False,805,Airline Collectibles,805,Airline Collectibles,1.0
1315,Buick Auto Advertising,True,13553,Collectible American Auto Advertising,1313,Collectible Auto Advertising,0.8571428571428571
1316,Chevrolet Auto Advertising,True,13553,Collectible American Auto Advertising,1313,Collectible Auto Advertising,0.8571428571428571
1317,Chrysler Auto Advertising,True,13553,Collectible American Auto Advertising,1313,Collectible Auto Advertising,0.8571428571428571
1318,Dodge Auto Advertising,True,13553,Collectible American Auto Advertising,1313,Collectible Auto Advertising,0.8571428571428571
1319,Ford Auto Advertising,True,13553,Collectible American Auto Advertising,1313,Collectible Auto Advertising,0.8571428571428571
1320,Pontiac Auto Advertising,True,13553,Collectible American Auto Advertising,1313,Collectible Auto Advertising,0.8571428571428571
1328,Citgo Advertising,False,156204,Collectible Gas & Oil Company Advertising,156204,Collectible Gas & Oil Company Advertising,1.0
1329,Gulf Oil Advertising,True,156204,Collectible Gas & Oil Company Advertising,165249,Gas & Oil Merchandise & Memorabilia,0.75
1330,Hess Advertising Collectibles (Unknown Date),False,35879,Collectible Hess Advertising,35879,Collectible Hess Advertising,1.0
1331,Sinclair Advertising,False,156204,Collectible Gas & Oil Company Advertising,156204,Collectible Gas & Oil Company Advertising,1.0
1332,Sunoco Advertising,False,156204,Collectible Gas & Oil Company Advertising,156204,Collectible Gas & Oil Company Advertising,1.0
1333,Seed & Feed Company Advertising,False,827,Collectible Agriculture Advertising,827,Collectible Agriculture Advertising,1.0
1334,Moxie Advertising,True,36,Collectible Soda Advertising,34,Collectible Advertising,0.8
1350,Collectible Soda Bottles (Pre-1900),False,889,Collectible Antique Bottles (Pre-1900),889,Collectible Antique Bottles (Pre-1900),1.0
1351,Collectible Liquor Bottles (Pre-1900),False,889,Collectible Antique Bottles (Pre-1900),889,Collectible Antique Bottles (Pre-1900),1.0
1371,Disney Animation Art & Cels (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
1372,Disney Books (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
1373,Disney Collector Clubs (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
1378,Disney Jewelry (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
1379,Disney Limited Edition Collectibles (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
1380,Disney Theme Park Souvenirs (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
1381,Disney Premiums (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
1382,"Disney Records, Tapes & CDs (1968-Now)",False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
1383,"Disney Toys, Games & Puzzles (1968-Now)",False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
1384,Disney Watches & Timepieces (1968-Now),False,1369,Contemporary Disney Collectibles (1968-Now),1369,Contemporary Disney Collectibles (1968-Now),1.0
1385,Disney Apparel & Accessories (Pre-1968),True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1386,Disney Animation Art & Cels (Pre-1968),True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1387,"Disney Posters, Prints & Lithos (Pre-1968)",True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1388,Disney Books (Pre-1968),True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1391,Disney Figurines (Pre-1968),True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1392,Disney Holiday Collectibles (Pre-1968),True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1393,Disney Jewelry (Pre-1968),True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1394,Disney Pins & Buttons (Pre-1968),True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1395,Disney Plush Toys (Pre-1968),True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1396,Disney Premiums (Pre-1968),True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1397,Disney Records (Pre-1968),False,139,Vintage Disney Collectibles (Pre-1968),139,Vintage Disney Collectibles (Pre-1968),1.0
1398,"Disney Toys, Games & Puzzles (Pre-1968)",True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1399,Disney Watches & Timepieces (Pre-1968),True,139,Vintage Disney Collectibles (Pre-1968),1369,Contemporary Disney Collectibles (1968-Now),0.6666666666666666
1407,Collectible Lighting Parts,True,1404,Collectible Lighting & Lamps,183838,Lights & Lighting,0.0
1408,Collectible Lamp Shades,False,1404,Collectible Lighting & Lamps,1404,Collectible Lighting & Lamps,1.0
1410,Collectible Metal Lunchboxes (1970-1979),False,156473,Collectible Metal Lunchboxes,156473,Collectible Metal Lunchboxes,1.0
1411,Collectible Plastic Lunchboxes (1970-Now),False,156480,Collectible Plastic Lunchboxes,156480,Collectible Plastic Lunchboxes,1.0
1413,Collectible United States Maps,False,20284,Collectible Maps,20284,Collectible Maps,1.0
1419,Movie Memorabilia Original US Posters (1990-1999),False,18829,Original US Movie Posters,18829,Original US Movie Posters,1.0
1431,Collectible Aluminum Metalware,False,1430,Collectible Metalware,1430,Collectible Metalware,1.0
1432,Collectible Bronze Metalware,False,1430,Collectible Metalware,1430,Collectible Metalware,1.0
1433,Collectible Copper Metalware,False,1430,Collectible Metalware,1430,Collectible Metalware,1.0
1434,Collectible Pewter Metalware,False,1430,Collectible Metalware,1430,Collectible Metalware,1.0
1435,Collectible Sterling Silver Metalware,False,1430,Collectible Metalware,1430,Collectible Metalware,1.0
1436,Silver Plated Collectibles,False,1430,Collectible Metalware,1430,Collectible Metalware,1.0
1437,Collectible Paper Menus,True,124,Paper Collectibles,41187,Collectible Paper Ephemera,0.8
1438,Collectible Playing Cards,False,124,Paper Collectibles,124,Paper Collectibles,1.0
1439,Collectible Newspapers (1970-Now),False,13992,Collectible Newspapers,13992,Collectible Newspapers,1.0
1440,Collectible Scrapbooks,False,124,Paper Collectibles,124,Paper Collectibles,1.0
1443,Collectible Promo Glasses,False,14005,"Collectible Pez, Keychains & Promo Glasses",14005,"Collectible Pez, Keychains & Promo Glasses",1.0
1450,Doctor Who Collectibles,False,152,Sci-Fi & Horror Collectibles,152,Sci-Fi & Horror Collectibles,1.0
1462,Collectible Credit & Charge Cards,False,1,Collectibles,1,Collectibles,1.0
1465,Collectible Sewing Pin Cushions,False,113,Sewing Collectibles (1930-Now),113,Sewing Collectibles (1930-Now),1.0
1467,Slightly Unusual Stuff,False,1466,Weird Stuff,1466,Weird Stuff,1.0
1468,Really Weird Stuff,False,1466,Weird Stuff,1466,Weird Stuff,1.0
1469,Totally Bizarre Stuff,True,1466,Weird Stuff,102513,Psychic & Paranormal Items,0.4
1522,Bammers & Bamm Beanos,True,49019,Beanbag Plushies,19203,Ty Beanbag Plushies,0.8
1525,Drugstore Advertising,False,13598,Collectible Retail Store Advertising,13598,Collectible Retail Store Advertising,1.0
1529,Collectible Animation Art,False,13658,Collectible Animation Art & Merchandise,13658,Collectible Animation Art & Merchandise,1.0
